team
Akron Zips
Alabama Crimson Tide
Arizona Wildcats
Arkansas Razorbacks
BYU Cougars
Cal Baptist Lancers
Clemson Tigers
Duke Blue Devils
Florida Gators
Furman Paladins
Georgia Bulldogs
Gonzaga Bulldogs
Hawai'i Rainbow Warriors
High Point Panthers
Hofstra Pride
Houston Cougars
Howard Bison
Idaho Vandals
Illinois Fighting Illini
Iowa Hawkeyes
Iowa State Cyclones
Kansas Jayhawks
Kennesaw St Owls
Kentucky Wildcats
LIU Sharks
Lehigh Mountain Hawks
McNeese Cowboys
Miami (OH) RedHawks
Miami Hurricanes
Michigan St Spartans
Michigan Wolverines
Missouri Tigers
NC State Wolfpack
Nebraska Cornhuskers
North Carolina Tar Heels
North Dakota St Bison
Northern Iowa Panthers
Ohio State Buckeyes
Pennsylvania Quakers
Prairie View Panthers
Purdue Boilermakers
Queens University Royals
SMU Mustangs
Saint Louis Billikens
Saint Mary's Gaels
Santa Clara Broncos
Siena Saints
South Florida Bulls
St. John's Red Storm
TCU Horned Frogs
Tennessee St Tigers
Tennessee Volunteers
Texas A&M Aggies
Texas Longhorns
Texas Tech Red Raiders
Troy Trojans
UCF Knights
UCLA Bruins
UConn Huskies
UMBC Retrievers
Utah State Aggies
VCU Rams
Vanderbilt Commodores
Villanova Wildcats
Virginia Cavaliers
Wisconsin Badgers
Wright St Raiders
